Librosa_KmeansMel_Cluster3

Bulletproof_Librosa_KmeansMel_Cluster3.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.046439909297052155,NA,NA,NA,NA,NA,NA,NA
2,48.83156462585034,48.667538,2,0.16402662585034022,48.000488,0.8310766258503435,48.000488,0.8310766258503435
3,64.92299319727891,64.668653,2,0.254340197278907,64.001988,0.9210051972789159,69.335308,-4.412314802721085
4,103.70031746031746,103.999708,1,-0.29939053968253404,103.999708,-0.29939053968253404,114.666348,-10.966030539682535
5,135.04725623582766,135.332857,4,-0.2856007641723295,135.999284,-0.9520277641723283,135.999284,-0.9520277641723283
6,150.76716553287983,150.666278,3,0.100887532879824,151.999608,-1.2324424671201655,157.332928,-6.56576246712018
7,165.74403628117915,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.22084913197278694,,0.8471885188208574,,4.7454424399092945
Proximity Scores,,,,0.33127452614549574,,1.270785955196174,,7.118181455317579
Percent of ground truth boundaries,0.42857142857142855
Percent of ground truth boundaries found,0.23076923076923078
Average time between beats,0.6666650000000001

CallMeMaybe_Librosa_KmeansMel_Cluster3.csv
Boundary,Start_Time,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,3.7616326530612243,NA,NA,NA,NA,NA,NA,NA
2,8.777142857142858,8.666645,2,0.11049785714285676,7.99998,0.7771628571428577,5.33332,3.443822857142858
3,31.997097505668933,32.000772,1,-0.003674494331065148,32.000772,-0.003674494331065148,26.6666,5.330497505668934
4,64.76045351473923,64.668653,2,0.09180051473921935,64.001988,0.7584655147392283,69.335308,-4.574854485260772
5,92.5082993197279,92.666403,4,-0.15810368027210586,93.333068,-0.8247686802721006,90.666408,1.8418913197278926
6,188.56925170068027,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.09101913662131178,,0.5910178866213129,,3.7977665419501143
Proximity Scores,,,,0.1365290462545833,,0.886529046254585,,5.696664054585307
Percent of ground truth boundaries,0.3333333333333333
Percent of ground truth boundaries found,0.15384615384615385
Average time between beats,0.6666650000000001

Clocks_Librosa_KmeansMel_Cluster3.csv
